"","title","url","paper","author","text"
"117","Rajahmundry police a cut above the rest!","http://www.thehindu.com/news/national/andhra-pradesh/rajahmundry-police-a-cut-above-the-rest/article24069763.ece","The Hindu","B V S Bhaskar","The Rajamahendravaram Urban Police have stood as a role model in the State as they took to a novel method of preventing attacks on beggars, street vendors and rag-pickers who hailed from various parts of the State, including Tirupati, and from Bhadradri-Kotha… [+1648 chars]"
"118","Protest at Church Street over ‘privatisation’","http://www.thehindu.com/news/cities/bangalore/protest-at-church-street-over-privatisation/article24060252.ece","The Hindu","Staff Reporter","A group of civic activists, under the banner of Forum for Urban Governance and Commons (FUGC), held a peaceful protest at Church Street on Friday morning against the proposed privatisation of the recently developed stretch. Kshithij Urs, member of FUGC, said … [+622 chars]"
"119","Bengaluru still not a 'plastic free' city","https://economictimes.indiatimes.com/news/politics-and-nation/bengaluru-still-not-a-plastic-free-city/articleshow/64410546.cms","The Times of India","Divya Shekhar","Given a choice, Radha Rajesh will never use plastic. She always leaves home with a cloth bag in hand. The schoolteacher from Indiranagar is also a diligent waste segregator. But there are times when she makes exceptions: when she needs an extra bag and the ve… [+7240 chars]"
"120","Waves batter local economy","http://www.thehindu.com/news/cities/Thiruvananthapuram/waves-batter-local-economy/article24050837.ece","The Hindu","Sarath Babu George","The ban on entry of people to the Shanghumughom beach has not only disappointed regular visitors, but also affected the local economy. The rough seas, sea erosion and the subsequent prohibition of entry to the beach could not have come at a more inopportune t… [+1417 chars]"
"121","Protest against Church Street privatisation","http://www.thehindu.com/news/cities/bangalore/protest-against-church-street-privatisation/article24049126.ece","The Hindu","Special Correspondent","Several citizens are coming together to protest the proposed privatisation of the recently developed Church Street. After spending crores of rupees to revamp the popular street, the civic body is looking for a private agency to maintain it. However, this has … [+1838 chars]"
"122","Police organise free haircuts for the penniless","http://www.thehindu.com/news/national/andhra-pradesh/police-organise-free-haircuts-for-the-penniless/article23994724.ece","The Hindu","BVS BHASKAR","To the best of their knowledge, they had broken no laws. Then why did the police want them? Around 300 homeless persons making a living as beggars and street vendors got a rude shock when the police summoned them to the Pushkara Ghat on the banks of the Godav… [+1935 chars]"
"123","Cycling gives way to parking","http://www.thehindu.com/news/cities/chennai/cycling-gives-way-to-parking/article23990180.ece","The Hindu","Kavya C","The exercise to widen footpaths in KK Nagar has had an unpalatable side effect – traffic congestion. “People commuting through P. T. Rajan Salai, Ramasamy Salai and Lakshmanaswamy Salai seem to be bearing the brunt of the problem. For, ever since the footpath… [+1420 chars]"
"124","Fight within Congress for control of union at shipyard","http://www.thehindu.com/news/cities/Kochi/fight-within-congress-for-control-of-union-at-shipyard/article23972362.ece","The Hindu","Special Correspondent","The factional fight within the Congress to gain control of the Cochin Shipyard Employees’ Organisation affiliated to its trade union arm, the Indian National Trade Union Congress (INTUC), came to a head with the State president of the union R. Chandrasekharan… [+2418 chars]"
"125","Iftar fervour at Beemapally Dargah Shareef","http://www.thehindu.com/society/an-evening-at-beemapally-dargah-shareef-as-devotees-gather-for-iftar/article23967772.ece","The Hindu","Athira M.","The sprawling grounds of Beemapally Dargah Shareef is enveloped in quietude in the late afternoon, just hours before devotees break the day’s roza (fast) in the month of Ramzan. Today, it’s at 6.37 pm. While people quietly move around the majestic mosque with… [+3958 chars]"
"126","TDP paints city yellow","http://www.thehindu.com/news/cities/Visakhapatnam/tdp-paints-city-yellow/article23963323.ece","The Hindu","Special Correspondent","A jatara-type atmosphere prevailed at the third edition of the Dharma Porata Deeksha organised by the TDP to protest against denial of Special Category Status to Andhra Pradesh. The party cadres greeted their leaders whenever they made a scathing attack on th… [+1322 chars]"
"127","T. Nagar residents want their pavements back","http://www.thehindu.com/news/cities/chennai/t-nagar-residents-want-their-pavements-back/article23953951.ece","The Hindu","Special Correspondent","Frustrated over the rampant encroachment of roads and footpaths, a section of T. Nagar residents led by members of the Pattali Makkal Katchi (PMK) staged a road blockade on Masilamani Street on Monday. The protesters met Corporation officials in T. Nagar and … [+1685 chars]"
"128","Kiwi’s ‘surviving India’ videos go viral","https://timesofindia.indiatimes.com/city/delhi/kiwis-surviving-india-videos-go-viral/articleshow/64240971.cms","The Times of India","Debdeep Mukherjee","NEW DELHI: Tea-k hay, Deejee-yeh — that’s how New Zealander Karl Rock breaks down Hindi phrases for tourists to help them on their travels. So popular are this Kiwi’s five minute how-to-survive-India videos that he’s gained millions of views online. Rock lear… [+2440 chars]"
"129","Neighbour assaults one-year-old, held","http://www.thehindu.com/news/cities/Delhi/neighbour-assaults-one-year-old-held/article23939038.ece","The Hindu","Staff Reporter","A one-year-old child was allegedly sexually assaulted by her 40-year-old neighbour on Friday evening in north-east Delhi’s Jaffarabad, the police said on Saturday. The accused, Sarvesh, a tea stall owner, has been arrested, said DCP (North-East) Atul Kumar Th… [+1069 chars]"
"130","GMC earmarks zones for street vendors","http://www.thehindu.com/news/national/andhra-pradesh/gmc-earmarks-zones-for-street-vendors/article23938693.ece","The Hindu","P. Samuel Jonathan","The Guntur Municipal Corporation (GMC) has started taking steps to ease traffic congestion by initiating the zoning of major streets. The Street Vendors (Protection of Livelihood and Regulation of Street Vending) Act, 2014, has laid down clear guidelines on t… [+1781 chars]"
"131","13,000% jump in 10 years, 0% last year! Many are still betting on a big takeoff","https://economictimes.indiatimes.com/markets/stocks/news/13000-jump-in-10-years-0-last-year-many-are-still-betting-on-a-big-takeoff/articleshow/64217669.cms","The Times of India","Amit Mudgill","NEW DELHI: This stock has been a '100 bagger' for investors, surging 13,000 per cent in last 10 years. But scrip disappointed the Street with FY18 earnings, leading to zero return in last one year. The stock now trades at its five-year average forward PE mult… [+3798 chars]"
"132","Only 25% of hawkers eligible for pitches: BMC","https://timesofindia.indiatimes.com/city/mumbai/only-25-of-city-hawkers-eligible-for-pitches-bmc/articleshow/64166640.cms","The Times of India","Richa Pinto","MUMBAI: Almost four years after the BMC admitted 99,437 applications from hawkers during a ten-day registration drive, a preliminary scrutiny by the civic body has found only 23,265 — or nearly 25% — of the applicants eligible, though 2,782 forms are still to… [+1640 chars]"
"133","Street vendors protest against eviction drives","http://www.thehindu.com/news/cities/Delhi/street-vendors-protest-against-eviction-drives/article23886688.ece","The Hindu","Anusuya Som","Protesting against recent evictions during encroachment removal drives by the civic bodies, a group of street vendors gathered outside Raj Niwas on Monday to demand an end to what they termed was harassment by the authorities. Street vendors at the protest, w… [+1114 chars]"
"134","Crackdown on illegal street vendors planned","http://www.thehindu.com/news/cities/kozhikode/crackdown-on-illegal-street-vendors-planned/article23886564.ece","The Hindu","Staff Reporter","The Kozhikode Municipal Corporation is planning to crack down on unauthorised street vending in the city based on a database comprising details of registered street vendors, which will be operational in three months. The database will serve as a referral poin… [+1596 chars]"
"135","Less than 25% hawkers pass BMC’s preliminary scrutiny","http://www.thehindu.com/news/cities/mumbai/less-than-25-hawkers-pass-bmcs-preliminary-scrutiny/article23886158.ece","The Hindu","Staff Reporter","Mumbai: Following the primary verification drive carried out as part of the BMC’s hawking policy implementation, it has been found that of the 99,000 registered hawkers, only around 23,000 passed scrutiny. Officials said only these hawkers could produce valid… [+2643 chars]"
"136","Notes from Oman","http://www.thehindu.com/life-and-style/travel/notes-from-oman/article23854701.ece","The Hindu","Raul Dias","Ever the aviation geek, I realised recently that — barring the now-defunct Mumbai-Karachi flight — the Mumbai-Muscat flight of two-and-a-half hours is the shortest international flight out of my home city. Yes, even the direct flight to Kolkata is longer for … [+3134 chars]"
"137","Techies on their favourite summer drink","http://www.thehindu.com/life-and-style/techies-on-their-favourite-summer-drinks/article23835369.ece","The Hindu","Athira M.","Najeeb Raffic is not a morning person because of his office timings at an MNC in Technopark. However, there are a few advantages about working late into the night, he says. The lime juice at a bakery opposite Technopark gate is one of those pros; it is open e… [+3597 chars]"
"138","How political parties strategising for Karnataka polls through war rooms","https://timesofindia.indiatimes.com/city/bengaluru/karnataka-election-2018-calm-is-what-lends-strategising-the-cutting-edge-in-these-war-rooms/articleshow/64104401.cms","The Times of India","Mahalakshmi P","BENGALURU: A Basavanna photo is the only wall decoration at the Congress party’s war room on Cunningham Road. With barely a day to go for election campaign to end, you’d expect the mood in the party to be feverish. But it’s an easy calm that welcomes you. And… [+3866 chars]"
"139","428 street vendors to get identity cards","http://www.thehindu.com/news/national/kerala/428-street-vendors-to-get-identity-cards/article23828629.ece","The Hindu","Staff Reporter","The city Corporation will issue identity cards to 428 street vendors in the first phase. Though the local body received more than 1,800 applications, only 428 vendors submitted all the relevant documents till now. The Street Vendors (Protection of Livelihood … [+1660 chars]"
"140","Evaluating Technology and Security Leaders","http://feedproxy.google.com/~r/govtech/top_news/~3/04J7keD9dkE/evaluating-technology-and-security-leaders.html","Google News","Daniel Lohrmann",NA
"141","Consume only 10% saturated fat, 1% trans fats for longer life","http://www.thehindu.com/news/national/consume-only-10-saturated-fat-1-trans-fats-for-longer-life/article23787533.ece","The Hindu","Bindu Shajan Perappadan","The World Health Organisation (WHO) has recommended that adults and children should consume a maximum of 10% of their daily calorie intake in the form of saturated fat (found in meat and butter) and 1% in trans fats. These draft recommendations, the first sin… [+2650 chars]"
"142","A to-do list for the summer","http://www.thehindu.com/news/cities/chennai/a-to-do-list-for-the-summer/article23784051.ece","The Hindu","The Hindu","Drip by drip “I had a kitchen garden on my terrace. Last summer, it perished completely,” says Ranjani Thomas, a resident of Nandanam Extension. Considering the water crisis in Chennai, she decided to find a solution on her own. Based on the principle of drip… [+6028 chars]"
"143","City losing battle against plastic","http://www.thehindu.com/news/cities/bangalore/city-losing-battle-against-plastic/article23764348.ece","The Hindu","Special Correspondent","Thin covers, black bags, woven bags that look like cloth. Ubiquitous plastic bags in all their many avatars have flooded the city despite the ban. Solid waste management volunteers claim that the Bruhat Bengaluru Mahanagara Palike (BBMP) and the Karnataka Sta… [+2471 chars]"
"144","In search of a lost Halwa","http://www.thehindu.com/life-and-style/food/the-peculiar-bheema-pushti-halwa-was-an-integral-part-of-the-street-side-food-during-the-chithirai-festival-but-now-it-has-gone-missing/article23760493.ece","The Hindu","A. Shrikumar, A Shrikumar","A bright yellow poster in tatters announces ' Madurai Panchanathan Company – Bheema pushti Halwa' and beneath is a life-size black-and-white illustration of two muscled men – one with a crown carrying a Dhandayutham on the shoulder and the other wearing a ski… [+3413 chars]"
"145","Karnataka election 2018: BJP’s Narayanaswamy reconnects with his praja","https://timesofindia.indiatimes.com/india/karnataka-election-2018-bjps-narayanaswamy-reconnects-with-his-praja/articleshow/64012401.cms","The Times of India",NA,"If honking vehicles can be ignored, the nearly 5km Ashwathnagar-Bhoopasandra Road stretch in Hebbal is a relatively peaceful zone. But early this week, residents of the locality woke up to much fanfare, with loudspeakers blaring actor Vishnuvardhan’s popular … [+1690 chars]"
"146","Dog meat fear halves sale of non-veg food in Kolkata eateries","https://timesofindia.indiatimes.com/india/dog-meat-fear-halves-sale-of-non-veg-food-in-kolkata-eateries/articleshow/63979908.cms","The Times of India",NA,"KOLKATA: Sale of non-vegetarian cuisine — mutton, chicken and pork dishes — has halved across restaurants in Kolkata and its surrounding areas, which has prompted the Hotel and Restaurants' Association of Eastern India (HRAEI) to issue an urgent advisory on M… [+1902 chars]"
"147","Special vending zones yet to be a reality in city","http://www.thehindu.com/news/cities/kozhikode/special-vending-zones-yet-to-be-a-reality-in-city/article23721885.ece","The Hindu","Staff Reporter","The special vending zones for street vendors planned by the Ministry of Urban Affairs under the National Urban Livelihood Mission (NULM) are yet to be a reality in the city with the delay in identifying suitable locations. Though a survey had earlier been car… [+1678 chars]"
"148","The joy of Jow mittai","http://www.thehindu.com/society/once-a-sought-after-sugar-candy-the-jow-mittai-is-now-a-fading-childhood-memory/article23683086.ece","The Hindu","A. Shrikumar","Amidst the burgeoning festival crowd on the Chithirai Streets, a group of children surround Ramaiah thatha. It's not difficult to spot his frail old figure in the sea of humanity. He carries a characteristic bamboo stick atop which an unkempt and cheap lookin… [+2916 chars]"
"149","Of paddu, kadubu, and some nostalgia","http://www.thehindu.com/life-and-style/food/of-paddu-kadubu-and-some-nostalgia/article23681800.ece","The Hindu","Subha J Rao","The sky is turning crimson and the fruit vendors are in a hurry; once it’s dark, their jade-green grapes will find no takers. Just about 100 metres into Tank Bund Road that leads off the bustling BH Road is Meenakshi Bhavan, where a zen-like aura rests despit… [+4007 chars]"
"150","Austria, Cambodia or Oman: Indulge in active holidays for your next trip","https://economictimes.indiatimes.com/magazines/travel/austria-cambodia-or-oman-indulge-in-active-holidays-for-your-next-trip/articleshow/63910890.cms","The Times of India","Nimisha Tiwari","Nature trails, daring acts and harvesting floral blooms this season can add much fun to your trip: BEAT THE HEAT BY GETTING CLOSER TO THE ALPS Region: Austria On your European trip this summer, include Innsbruck in Austria. Also called Capital of the Alps for… [+5075 chars]"
"151","BBMP looking for private agency to maintain Church Street","http://www.thehindu.com/news/cities/bangalore/bbmp-looking-for-private-agency-to-maintain-church-st/article23675344.ece","The Hindu","Special Correspondent","After spending crores of rupees over a year revamping Church Street, the civic body is now looking for a private agency to maintain it. The Bruhat Bengaluru Mahanagara Palike (BBMP) has floated a tender to select a private agency, which will be tasked with sw… [+1905 chars]"
"152","Stories of a vendor: from street to stage","http://www.thehindu.com/entertainment/theatre/stories-of-a-vendor-from-street-to-stage/article23672855.ece","The Hindu","Vikram Phukan","After a fairly gratifying experience last year when two of their works were showcased in Mumbai to appreciative audiences, Bengaluru-based theatremaker Aruna Ganesh Ram and her troupe, Visual Respiration, are back in town with a brand new production, Stand on… [+4794 chars]"
"153","Rapid growth leads to traffic mess and loss of green cover","https://economictimes.indiatimes.com/news/politics-and-nation/rapid-growth-leads-to-traffic-mess-and-loss-of-green-cover/articleshow/63908399.cms","The Times of India","Divya Shekhar","BENGALURU: Basavanagudi, one of Bengaluru’s oldest localities that was once famous for its bungalows, writers, markets and green cover, has lost 80% of its heritage buildings in the past three decades — the highest for any locality in the city — according to … [+1253 chars]"
"154","The City’s old locality faces many new problems","https://economictimes.indiatimes.com/news/politics-and-nation/the-citys-old-locality-faces-many-new-problems/articleshow/63903927.cms","The Times of India","Divya Shekhar","BENGALURU: Basavanagudi, one of Bengaluru’s oldest localities that was once famed for its bungalows, litterateurs, markets and green cover, has lost 80% of its heritage buildings in the last three decades - the highest for any locality in the city - according… [+1196 chars]"
"155","All roads lead to Thrissur","http://www.thehindu.com/news/national/kerala/all-roads-lead-to-thrissur/article23662123.ece","The Hindu","Staff Reporter","Thrissur has swung into festival mood. Percussions and elephants are everywhere. Street vendors have taken over city roads. Naithilakavu Bhagavathy, one of the participants of the Thrissur Pooram, opened the southern entrance of Sree Vadakkunnathan Temple, ma… [+1984 chars]"
"156","Accounting quirks! Jio earnings face close scrutiny on D-Street","https://economictimes.indiatimes.com/markets/stocks/news/how-long-is-a-quarter-6-months-if-youre-this-india-start-up/articleshow/63879953.cms","The Times of India","Bloomberg","By Greg Farrell, Matt Robinson and Bhuma Shrivastava A smartphone in India cost more than $200 just two years ago. Now you can get a decent phone for nothing but a refundable deposit of $23. Data packages are cheap, and a startup company even throws in free v… [+10221 chars]"
"157","Chickpet: Bengaluru's original business district is congested, dirty","https://economictimes.indiatimes.com/news/politics-and-nation/chickpet-bengalurus-original-business-district-is-congested-dirty/articleshow/63872972.cms","The Times of India","Divya Shekhar","BENGALURU: The World Health Organisation recommends at least 32 trees per person to offset respiratory carbon dioxide. Chickpet, with 25 trees for a population upwards of 52,688 has zero trees per person, the worst in all of Bengaluru (as per a 2014 report by… [+1466 chars]"
"158","Volunteers distribute water, buttermilk","http://www.thehindu.com/news/national/telangana/volunteers-distribute-water-buttermilk/article23631313.ece","The Hindu","B. Pradeep","There are voluntary camps distributing water and butter milk and fruit juice vendors at nearly every street corners in the town. Shopkeepers everywhere are organising air cooler melas. Streets wear a deserted look even at 10 a.m., and there are reports of dea… [+1009 chars]"
"159","Reports of ‘crunch’ lead to queues outside ATMs","http://www.thehindu.com/news/cities/Delhi/reports-of-crunch-lead-to-queues-outside-atms/article23594609.ece","The Hindu","Staff Reporter","As reports of cash crunch at ATMs continued on Wednesday, several people across the Capital were seen lining up outside kiosks to avoid “issues faced during demonetisation”. “This sudden cash crunch has caused a lot of inconvenience to all of us, especially t… [+949 chars]"
"160","It’s unfortunate that sport is being held to ransom","http://www.thehindu.com/opinion/columns/its-unfortunate-that-sport-is-being-held-to-ransom/article23573460.ece","The Hindu","Suresh Menon","In How Hitler Hijacked World Sport, the author Christopher Hilton says, “(Hitler) approached sport as he approached everything else, by being to exploit it in the most shameless ways as long as it served its purpose.” To compare the fringe political groups an… [+4641 chars]"
"161","It’s unfortunate that sport is being held to ransom","http://www.thehindu.com/sport/races/its-unfortunate-that-sport-is-being-held-to-ransom/article23573460.ece","The Hindu","Suresh Menon","In How Hitler Hijacked World Sport, the author Christopher Hilton says, “(Hitler) approached sport as he approached everything else, by being to exploit it in the most shameless ways as long as it served its purpose.” To compare the fringe political groups an… [+4674 chars]"
"162","Shopping spree marks Vishu eve in Kochi","http://www.thehindu.com/news/cities/Kochi/shopping-spree-marks-vishu-eve-in-kochi/article23544069.ece","The Hindu","Special Correspondent","Kochiites had a busy schedule on Saturday as they went on a shopping spree, thronging vegetable and fruit markets on the eve of Vishu. Hundreds turned up at the busy Broadway market here to buy vegetables and fruits. Street vendors did brisk business with the… [+1993 chars]"
"163","Jab food lovers and sellers met!","http://www.thehindu.com/life-and-style/food/jab-food-lovers-and-sellers-met/article23541059.ece","The Hindu","RAHUL VERMA","If you love your street food, you must doff your cap to a young man who has been bringing down walls. There was a time when street food vendors of Old Delhi were an anonymous lot. Only the die-hard street food lover knew about, say, Moinuddin’s kababs or Jain… [+3295 chars]"
"164","Dharavi streets lend colour to classroom walls","http://www.thehindu.com/news/cities/mumbai/dharavi-streets-lend-colour-to-classroom-walls/article23506352.ece","The Hindu","Harsharan Bakshi","Mumbai: As one walks into the sunlit classroom of Maulana Azad school in Dharavi on Wednesday, one feels it is no different than walking down the streets of the locality itself. The students have painted the walls to exhibit elements of their community and ne… [+3127 chars]"
"165","Gigafactories for Cooking: Massive Potential Awaits Solar Plus Storage","http://feedproxy.google.com/~r/SolarEnergyrssFeed/~3/PRB326rucM0/gigafactories-for-cooking.html","Google News",NA,NA
"166","Gigafactories for Cooking: Massive Potential Awaits Solar Plus Storage","http://feedproxy.google.com/~r/RenewableEnergyNewsRssFeed/~3/5yurXgSCv0s/gigafactories-for-cooking.html","Google News",NA,NA
"167","Gigafactories for Cooking: Massive Potential Awaits Solar Plus Storage","http://feedproxy.google.com/~r/SolarEnergyrssFeed/~3/5yurXgSCv0s/gigafactories-for-cooking.html","Google News",NA,NA
"168","Gigafactories for Cooking: Massive Potential Awaits Solar Plus Storage","http://feedproxy.google.com/~r/RenewableEnergyNewsRssFeed/~3/PRB326rucM0/gigafactories-for-cooking.html","Google News",NA,NA
"169","Madurai all set to get its first ‘Smart Market’","http://www.thehindu.com/news/cities/Madurai/madurai-all-set-to-get-its-first-smart-market/article23451065.ece","The Hindu","Sanjana Ganesh","In one month’s time, Madurai’s first ‘Smart Market’ will be complete, according to Corporation Commissioner S. Aneesh Sekhar. Speaking to The Hindu on Thursday, he said that work orders had been issued and progress fast tracked to ensure completion soon. The … [+2385 chars]"
"170","Mylapore memorabilia","http://www.thehindu.com/society/mylapore-memorabilia/article23413773.ece","The Hindu","Akila Kannadasan","It’s as though a village fair has descended upon the heart of the city. ‘Clang, clang’ goes the clapping doll atop the pole of the jow mittai seller; ‘Tring, tring,’ rings the bell on the mini-carousel every time it finishes one round; ‘ Thengaaaai burfi....!… [+3349 chars]"
"171","7-yr jail for murder convicts","http://www.thehindu.com/news/cities/Delhi/7-yr-jail-for-murder-convicts/article23409465.ece","The Hindu","Staff Reporter","The Delhi High Court has sentenced two persons to seven years in jail for killing a street vendor after the victim asked them to pay for the momos they had ordered. The HC reduced the sentence of the duo from life imprisonment, awarded by a trial court, to se… [+1886 chars]"
"172","Mob mistakes family for concoction sellers, sets their vehicle ablaze","http://www.thehindu.com/news/cities/chennai/mob-mistakes-family-for-concoction-sellers-sets-their-vehicle-ablaze/article23395978.ece","The Hindu","Special Correspondent","Following the death of a 27-year-old man in Ayyapakkam, who is suspected to have consumed a concoction to lose weight, miscreants allegedly set fire to a vehicle suspecting that herbal preparations were being sold in it. The police rescued a six-member family… [+989 chars]"
"173","CITU protests against eviction of vendors","http://www.thehindu.com/news/cities/puducherry/citu-protests-against-eviction-of-vendors/article23386054.ece","The Hindu","Staff Reporter","Demanding protection for the livelihood of nearly 300 street vendors who were being forcefully removed from their place along J.N. Street in Puducherry, members of the Centre of Indian Trade Unions – Puducherry, on Thursday staged a protest in Puducherry. G. … [+1117 chars]"
"174","Crypto's billionaire trading king has suddenly run into problems","https://economictimes.indiatimes.com/markets/stocks/news/cryptos-billionaire-trading-king-has-suddenly-run-into-problems/articleshow/63533807.cms","The Times of India","Bloomberg","By Justina Lee, Yuji Nakamura and Benjamin Robertson Even in a cryptocurrency industry teeming with overnight success stories, Zhao Changpeng stands out. In less than eight months, the founder of Binance has grown his company from an idea into the world’s lar… [+11090 chars]"
"175","Battle to get BBMP nod kills citizen-led projects","http://www.thehindu.com/news/cities/bangalore/battle-to-get-bbmp-nod-kills-citizen-led-projects/article23365692.ece","The Hindu","Staff Reporter","A cycle renting service was recently inaugurated at Sanjaynagar. The launch, however, came over two years after the idea was mooted by Citizens for Sustainability (CiFos) as part of the Neighbourhood Improvement Partnership (NIP) challenge organised by United… [+4045 chars]"
"176","‘Focus on rights of unorganised workers’","http://www.thehindu.com/news/national/andhra-pradesh/focus-on-rights-of-unorganised-workers/article23350759.ece","The Hindu","Special Correspondent","Street vendors, auto rickshaw drivers, self-help groups members and others working in unorganised sector took part in the legal services camp organised at Vikrama Simhapuri University premises at Kakutur near here on Sunday. The speakers and resource persons … [+499 chars]"
"177","NGO strives to improve the lot of urban workers","http://www.thehindu.com/news/national/andhra-pradesh/ngo-strives-to-improve-the-lot-of-urban-workers/article23345189.ece","The Hindu","Special Correspondent","Working among construction workers, women street vendors and nine identified slums, an NGO created awareness of their rights and entitlements and got them tangible benefits. Bapuji Rural Enlightenment and Development Society(BREDS) working in a three-year pro… [+1749 chars]"
"178","Rainbow Children’s Hospital: fairytales across the wards","http://www.thehindu.com/sci-tech/health/rainbow-childrens-hospital-hyderabad-disney-interiors/article23319341.ece","The Hindu","Divya Kala Bhavani","There are very few things that are more depressing than a hospital; the onset of illness and other sick people is magnified by the sombre ambience. The new Rainbow Children’s Hospital in Banjara Hills has, however, turned the interiors debate on its head and … [+2563 chars]"
"179","Merchants dump vegetables on the street","http://www.thehindu.com/news/cities/puducherry/merchants-dump-vegetables-on-the-street/article23315001.ece","The Hindu","Special Correspondent","A section of vegetable merchants in the Goubert Market dumped their stocks at the Bharathi Street-Jawaharlal Nehru Street junction on Wednesday demanding the removal of street vendors near the complex. The protesters alleged that the street vendors hit their … [+1180 chars]"
"180","Jamshedpur: One hundred years of fortitude","http://www.thehindu.com/life-and-style/travel/on-its-birthday-month-a-walk-through-jamshedpur-the-charming-city-with-a-heart-of-steel/article23310672.ece","The Hindu","Anubhuti Krishna","Scraps from the steel plant adorn the streets, wide tree-lined avenues invite you for a walk; marketplaces with small shops and tiled rooftops take you back in time, and large bungalows with beautiful lawns make you want to retire in them. Jamshedpur is a tow… [+5136 chars]"
"181","5 Basic Areas Any Workplace Needs To Look Into To Promote The Well Being Of Their Employees","https://www.indiatimes.com/health/healthyliving/5-basic-areas-any-workplace-needs-to-look-into-to-promote-the-well-being-of-their-employees-341904.html","The Times of India","Indiatimes","Making a little bit of an extra effort to promote healthier workspaces to can go a go long way in boosting an employee’s well-being. Why invest in an employees wellbeing you ask? Well-being improves employee productivity; both these factors share an inverse r… [+3492 chars]"
"182","Encroachments near Thiruvanmiyur market removed","http://www.thehindu.com/news/cities/chennai/encroachments-near-thiruvanmiyur-market-removed/article23272471.ece","The Hindu","L. Kanthimathi","Encroachments along a stretch of East Coast Road in Thiruvanmiyur, from the market area to Thiruvalluvar Nagar First Main Road, have been removed in a joint swoop-down by the J6 Thiruvanmiyur police station and Zone 13 of Greater Chennai Corporation. The team… [+1141 chars]"
"183","Why make parking spaces and then barricade them, ask Church St users","https://timesofindia.indiatimes.com/city/bengaluru/why-make-parking-spaces-and-then-barricade-them-ask-church-st-users/articleshow/63323275.cms","The Times of India","Rohith BR","Bengaluru: The fact that traffic police and BBMP have imposed a parking ban on the refurbished Church Street as an afterthought has left many vehicle users and shopping establishments along the stretch fuming. The move has left regular road users scrambling f… [+3081 chars]"
"184","Yes, canned soup may be fueling North Korea's air force","https://timesofindia.indiatimes.com/world/rest-of-world/yes-canned-soup-may-be-fueling-north-koreas-air-force/articleshow/63314711.cms","The Times of India",NA,"PYONGYANG: Is North Korea 's air force selling canned soup and taxi rides to upgrade its runways and airstrips? Amid the toughest sanctions ever against the North and its nuclear weapons program, there are some compelling reasons to believe the answer may wel… [+5205 chars]"
"185","Visual escape: Photography trails in India and tips to click to best shots","https://economictimes.indiatimes.com/magazines/travel/visual-escape-photography-trails-in-india-and-tips-to-click-to-best-shots/articleshow/63299444.cms","The Times of India","Nimisha Tiwari","Photography trails in India are a relatively new feature but are now proving to be a favourite amongst keen travellers. Combining adventure and sight-seeing as its prime feature and then moving on to capture the finer nuances truly makes a photography trail g… [+4139 chars]"
"186","Footpaths, food and fables","http://www.thehindu.com/life-and-style/food/footpaths-food-and-fables/article23243042.ece","The Hindu","Allan Moses Rodricks","The setting sun’s glow fading in the distance, the wafting aroma of spices and masalas and the ebbing tide of people and vehicles passing by – this is a familiar ambience for us as we dig into our favourite evening snack from our neighbourhood street food ven… [+4502 chars]"
"187","Goubert shops ignore safety norms","http://www.thehindu.com/news/cities/puducherry/goubert-shops-ignore-safety-norms/article23230903.ece","The Hindu","S. Prasad","The fire that broke out inside Goubert Market on Monday night was waiting to happen owing to total disregard to fire safety measures. A similar mishap had gutted 12 shops eight years ago. A similar damage to shops could have taken place on Monday night had no… [+2044 chars]"
"188","Kollam bracing for blazing days","http://www.thehindu.com/news/national/kerala/kollam-bracing-for-blazing-days/article23036314.ece","The Hindu","Navamy Sudhish","Kollam is quite accustomed to extreme summers, blazing days and stifling nights. But as the district hurtles towards the hottest term of the year, it seems navigating through the harsh climate may not be an easy affair this time. Punalur, one of the places th… [+2340 chars]"
"189","Manali shows the way","http://www.thehindu.com/news/cities/chennai/manali-shows-the-way/article23001356.ece","The Hindu","Shiba Kurian","The Manali zone seems to have set a benchmark in waste management. Credit for it should go to the northern section of Greater Chennai Corporation (GCC). In October 2015, Global Safety Trust, a city-based voluntary organisation, stepped forward to encourage so… [+2288 chars]"
"190","Why protectionism cannot be blamed for China's tech success","https://economictimes.indiatimes.com/news/international/business/why-protectionism-cannot-be-blamed-for-chinas-tech-success/articleshow/63211376.cms","The Times of India","Bloomberg","By Tim Culpan It's becoming all too easy to throw accusations at Chinese companies, especially when trade and political tensions rise. You know the refrain: They're just copycats of U.S. counterparts, ripping off larger rivals and protected by trade barriers … [+3585 chars]"
"191","Foot Locker could be a good way to play the 'rise of sneaker culture' (FL, NKE)","http://feedproxy.google.com/~r/TheMoneyGame/~3/IcT_hfzNkv0/foot-locker-stock-price-nike-stock-price-best-way-to-play-the-rise-of-sneaker-culture-2018-3","Google News","Kimberly Chin",NA
"192","A meaty stuffing","http://www.thehindu.com/life-and-style/food/a-meaty-stuffing/article22909189.ece","The Hindu","RAHUL VERMA","Every now and then, I find myself standing in front of a small market in south Delhi, waiting, along with hordes of others, for my turn to get near a mound of samosas. So popular are these samosas that they sell out before you can say chutney. Every time I bi… [+3610 chars]"
